Samples,Val,Method
800,14.4725173846189,JUMBO
900,15.8702675204064,JUMBO
1000,16.1668961665863,JUMBO
1100,17.0508495322027,JUMBO
1200,17.569680000612,JUMBO
1300,19.0427558350355,JUMBO
1400,20.2938995096352,JUMBO
1500,21.1038754886436,JUMBO
1600,23.0167707066303,JUMBO
1700,24.3404535683413,JUMBO
1800,25.8115518784568,JUMBO
1900,28.0172105814763,JUMBO
2000,30.3692060832779,JUMBO
2100,32.9436730697144,JUMBO
2200,34.1946369693771,JUMBO
2300,36.3282958100965,JUMBO
2400,37.8726524070717,JUMBO
2500,38.9020436967847,JUMBO
2600,40.1519289468249,JUMBO
2700,42.504014336095,JUMBO
2800,42.504014336095,JUMBO
2900,42.504014336095,JUMBO
3000,42.504014336095,JUMBO
3100,42.504014336095,JUMBO
3200,42.504014336095,JUMBO
3300,42.504014336095,JUMBO
3400,42.504014336095,JUMBO
3500,42.504014336095,JUMBO
3600,42.504014336095,JUMBO
0,3.22372990919452,JUMBO
100,3.74049296582746,JUMBO
200,4.25752568486601,JUMBO
300,5.87541023110641,JUMBO
400,8.08052960931463,JUMBO
500,9.40430235849417,JUMBO
600,11.5373319869338,JUMBO
700,13.7428109150162,JUMBO
800,15.5820882962691,JUMBO
900,16.7597040216036,JUMBO
1000,16.9824451686442,JUMBO
1100,17.4268488131029,JUMBO
1200,18.3093639792226,JUMBO
1300,18.6041948760318,JUMBO
1400,20.0750235237418,JUMBO
1500,21.1800101744964,JUMBO
1600,22.0640534275813,JUMBO
1700,22.8001419074503,JUMBO
1800,23.3152869896496,JUMBO
1900,23.9782070701275,JUMBO
2000,24.7880032741988,JUMBO
2100,25.3774852928801,JUMBO
2200,26.0408548107008,JUMBO
2300,26.7026962415563,JUMBO
2400,27.732357193675,JUMBO
2500,28.7619282583251,JUMBO
2600,29.9378361217574,JUMBO
2700,31.7026866790597,JUMBO
2800,32.8051564806952,JUMBO
2900,34.6432653248571,JUMBO
3000,36.3333295083347,JUMBO
3100,37.9516634919178,JUMBO
3200,38.7606507087722,JUMBO
3300,39.2760654533771,JUMBO
3400,40.0121539332461,JUMBO
3500,40.9686464859737,JUMBO
3600,40.9686464859737,JUMBO
0,3.59172920539478,SMAC
100,3.74166150291848,SMAC
200,3.81833551358257,SMAC
300,3.96835769857481,SMAC
400,4.11918887078389,SMAC
500,4.48916569129201,SMAC
600,4.56565992701902,SMAC
700,4.86291778547878,SMAC
800,5.37977072958024,SMAC
900,5.53033223938372,SMAC
1000,5.60565793801973,SMAC
1100,5.60934332422984,SMAC
1200,5.61239949816018,SMAC
1300,5.90848881952891,SMAC
1400,6.05824134211553,SMAC
1500,5.91469105485812,SMAC
1600,5.84287096749515,SMAC
1700,5.84592714142549,SMAC
1800,6.06794918871778,SMAC
1900,6.07208401227059,SMAC
2000,6.00026392490762,SMAC
2100,6.07558962354364,SMAC
2200,6.29797122071007,SMAC
