Samples,Val,Method
2400,120.71530758226,SMAC
2500,114.535050071531,SMAC
2600,104.005722460658,SMAC
2700,100.343347639485,SMAC
2800,95.5364806866953,SMAC
2900,87.5250357653791,SMAC
3000,84.549356223176,SMAC
3100,76.9957081545064,SMAC
3200,74.7067238912732,SMAC
3300,71.9599427753934,SMAC
3400,67.381974248927,SMAC
3500,61.6595135908441,SMAC
3600,61.6595135908441,SMAC
0,184.277539341917,SMAC
100,170.386266094421,SMAC
200,167.868383404864,SMAC
300,164.206008583691,SMAC
400,159.399141630901,SMAC
500,147.038626609442,SMAC
600,142.002861230329,SMAC
700,135.593705293276,SMAC
800,129.184549356223,SMAC
900,124.606580829757,SMAC
1000,121.859799713877,SMAC
1100,120.71530758226,SMAC
1200,120.486409155937,SMAC
1300,119.570815450644,SMAC
1400,113.848354792561,SMAC
1500,106.294706723891,SMAC
1600,95.7653791130186,SMAC
1700,89.1273247496424,SMAC
1800,86.3805436337625,SMAC
1900,85.4649499284693,SMAC
2000,84.0915593705293,SMAC
2100,83.1759656652361,SMAC
2200,82.2603719599428,SMAC
2300,74.2489270386266,SMAC
2400,71.7310443490701,SMAC
2500,66.0085836909871,SMAC
2600,63.2618025751073,SMAC
2700,61.4306151645208,SMAC
2800,61.2017167381974,SMAC
2900,58.6838340486409,SMAC
3000,54.5636623748212,SMAC
3100,49.9856938483548,SMAC
3200,48.1545064377683,SMAC
3300,45.6366237482118,SMAC
3400,39.9141630901288,SMAC
3500,40.1430615164521,SMAC
3600,40.1430615164521,SMAC
0,184.590844062947,Unicorn
100,164.663805436338,Unicorn
200,156.423462088698,Unicorn
300,148.412017167382,Unicorn
400,139.484978540773,Unicorn
500,127.353361945637,Unicorn
600,113.390557939914,Unicorn
700,106.065808297568,Unicorn
800,98.9699570815451,Unicorn
900,95.7653791130186,Unicorn
1000,91.1874105865522,Unicorn
1100,85.0071530758226,Unicorn
1200,81.1158798283262,Unicorn
1300,77.6824034334764,Unicorn
1400,73.5622317596566,Unicorn
1500,70.5865522174535,Unicorn
1600,67.6108726752504,Unicorn
1700,62.346208869814,Unicorn
1800,61.6595135908441,Unicorn
1900,57.7682403433477,Unicorn
2000,57.5393419170243,Unicorn
2100,57.0815450643777,Unicorn
2200,57.0815450643777,Unicorn
2300,55.4792560801145,Unicorn
2400,54.3347639484979,Unicorn
2500,54.3347639484979,Unicorn
2600,54.5636623748212,Unicorn
2700,54.3347639484979,Unicorn
2800,53.8769670958512,Unicorn
2900,52.5035765379113,Unicorn
3000,52.274678111588,Unicorn
3100,51.3590844062947,Unicorn
3200,51.1301859799714,Unicorn
3300,50.9012875536481,Unicorn
3400,50.4434907010015,Unicorn
3500,49.5278969957082,Unicorn
3600,49.5278969957082,Unicorn
0,184.361945636624,Unicorn
100,166.266094420601,Unicorn
200,160.314735336195,Unicorn
300,152.989985693848,Unicorn
400,144.978540772532,Unicorn
500,142.918454935622,Unicorn
600,138.569384835479,Unicorn
700,131.931330472103,Unicorn
800,128.26895565093,Unicorn
900,125.979971387697,Unicorn
1000,123.233190271817,Unicorn
1100,120.02861230329,Unicorn
1200,113.161659513591,Unicorn
1300,107.210300429185,Unicorn
1400,104.234620886981,Unicorn
1500,101.258941344778,Unicorn
1600,99.8855507868383,Unicorn
1700,98.7410586552218,Unicorn
1800,97.8254649499285,Unicorn
1900,96.9098712446352,Unicorn
2000,96.2231759656653,Unicorn
2100,94.8497854077253,Unicorn
2200,91.6452074391989,Unicorn
2300,87.0672389127325,Unicorn
2400,83.1759656652361,Unicorn
2500,74.0200286123033,Unicorn
2600,68.755364806867,Unicorn
2700,64.6351931330472,Unicorn
2800,60.2861230329042,Unicorn
2900,49.9856938483548,Unicorn
3000,48.6123032904149,Unicorn
3100,47.925608011445,Unicorn
3200,47.6967095851216,Unicorn
3300,47.238912732475,Unicorn
3400,46.552217453505,Unicorn
3500,45.4077253218884,Unicorn
3600,45.4077253218884,Unicorn
