Samples,Val,Method
3400,47.2452208944239,JUMBO
3500,46.4074683813988,JUMBO
3600,46.4074683813988,JUMBO
0,120.316127907652,SMAC
100,117.608413549999,SMAC
200,116.483043133002,SMAC
300,115.491545776762,SMAC
400,113.675543762468,SMAC
500,111.854312331739,SMAC
600,111.427591950572,SMAC
700,110.318483081869,SMAC
800,110.289322306366,SMAC
900,109.580562065426,SMAC
1000,109.154190312022,SMAC
1100,109.006372140768,SMAC
1200,108.717359725746,SMAC
1300,105.932172532006,SMAC
1400,101.198853402026,SMAC
1500,97.4490131897503,SMAC
1600,92.157889639945,SMAC
1700,88.8166411651914,SMAC
1800,85.7560380391625,SMAC
1900,82.1383277488331,SMAC
2000,79.3562782049544,SMAC
2100,74.3475431426856,SMAC
2200,73.9250062946679,SMAC
2300,73.0747031821967,SMAC
2400,72.7860393949372,SMAC
2500,71.6631093722763,SMAC
2600,71.6523019116422,SMAC
2700,71.3598032189963,SMAC
2800,70.6486025837191,SMAC
2900,70.3602874242219,SMAC
3000,70.0775503089229,SMAC
3100,69.9328697875307,SMAC
3200,69.9276403710949,SMAC
3300,69.6456005113207,SMAC
3400,69.50405763979,SMAC
3500,69.2234122910654,SMAC
3600,69.2234122910654,SMAC
0,120.595030117565,SMAC
100,117.750653677054,SMAC
200,117.323236040363,SMAC
300,116.753926904379,SMAC
400,116.324068873351,SMAC
500,116.174158935523,SMAC
600,115.88200887064,SMAC
700,115.731750305049,SMAC
800,114.74896864287,SMAC
900,114.04474056284,SMAC
1000,113.203501772191,SMAC
1100,113.196877844706,SMAC
1200,112.910654451783,SMAC
1300,112.762139025004,SMAC
1400,111.776916968488,SMAC
1500,111.487207297941,SMAC
1600,111.200983905018,SMAC
1700,110.637601440995,SMAC
1800,109.933721988728,SMAC
1900,108.397668067634,SMAC
2000,103.938370358893,SMAC
2100,101.852181828746,SMAC
2200,99.4877883442118,SMAC
2300,98.9226627413763,SMAC
2400,98.2163428947725,SMAC
2500,98.2114621060991,SMAC
2600,98.2114621060991,SMAC
2700,98.0643411903701,SMAC
2800,98.0643411903701,SMAC
2900,97.6376208092038,SMAC
3000,97.6278592318568,SMAC
3100,96.9218880130154,SMAC
3200,96.9166585965796,SMAC
3300,96.7709321919002,SMAC
3400,95.793031318394,SMAC
3500,94.5372741182623,SMAC
3600,93.9770293041003,SMAC
0,120.037922953265,Unicorn
100,115.531637969437,Unicorn
200,113.026050241134,Unicorn
300,108.573725087641,Unicorn
400,104.26015378358,Unicorn
500,97.5727760453991,Unicorn
600,92.8363192655575,Unicorn
700,86.9894830625012,Unicorn
800,85.5935775018884,Unicorn
900,83.3585249172009,Unicorn
1000,79.7334934438612,Unicorn
1100,76.3901532025334,Unicorn
1200,73.7398849528384,Unicorn
1300,70.5304177722686,Unicorn
1400,68.8503805853073,Unicorn
1500,66.198020569038,Unicorn
1600,63.5390366252832,Unicorn
1700,60.739555693285,Unicorn
1800,59.8896012085762,Unicorn
1900,57.9205516065929,Unicorn
2000,57.2041215548798,Unicorn
2100,56.9151091398578,Unicorn
2200,54.815324126978,Unicorn
2300,53.9692045476555,Unicorn
2400,53.4054734558695,Unicorn
2500,52.8393019697468,Unicorn
2600,51.718115085898,Unicorn
2700,51.1540353663497,Unicorn
2800,50.1747399817939,Unicorn
2900,49.751157250489,Unicorn
3000,49.4694660184773,Unicorn
3100,48.6317135054521,Unicorn
3200,48.073211830102,Unicorn
3300,47.0970540954078,Unicorn
3400,46.5392496755825,Unicorn
3500,45.1464817648312,Unicorn
3600,45.1464817648312,Unicorn
0,117.899169103833,Unicorn
100,114.556874745792,Unicorn
200,109.542213011563,Unicorn
