Samples,Val,Method
3100,442.089093701997,JUMBO
3200,442.764976958525,JUMBO
3300,443.10291858679,JUMBO
3400,443.778801843318,JUMBO
3500,444.792626728111,JUMBO
3600,444.792626728111,JUMBO
0,244.393241167435,JUMBO
100,248.786482334869,JUMBO
200,259.938556067588,JUMBO
300,267.035330261137,JUMBO
400,269.400921658986,JUMBO
500,269.73886328725,JUMBO
600,271.428571428571,JUMBO
700,281.228878648233,JUMBO
800,295.42242703533,JUMBO
900,303.533026113671,JUMBO
1000,315.360983102919,JUMBO
1100,330.906298003072,JUMBO
1200,341.044546850998,JUMBO
1300,350.506912442396,JUMBO
1400,360.645161290323,JUMBO
1500,363.6866359447,JUMBO
1600,368.417818740399,JUMBO
1700,370.783410138249,JUMBO
1800,376.866359447005,JUMBO
1900,379.907834101382,JUMBO
2000,385.652841781874,JUMBO
2100,388.018433179723,JUMBO
2200,388.694316436252,JUMBO
2300,390.046082949309,JUMBO
2400,390.384024577573,JUMBO
2500,391.397849462366,JUMBO
2600,392.749615975422,JUMBO
2700,396.466973886329,JUMBO
2800,397.480798771121,JUMBO
2900,400.522273425499,JUMBO
3000,403.563748079877,JUMBO
3100,406.943164362519,JUMBO
3200,414.039938556068,JUMBO
3300,418.095238095238,JUMBO
3400,421.136712749616,JUMBO
3500,429.247311827957,JUMBO
3600,429.247311827957,JUMBO
0,248.786482334869,SMAC
100,249.124423963134,SMAC
200,249.124423963134,SMAC
300,249.800307219662,SMAC
400,250.138248847926,SMAC
500,252.503840245776,SMAC
600,254.531490015361,SMAC
700,258.248847926267,SMAC
800,261.966205837174,SMAC
900,264.669738863287,SMAC
1000,269.062980030722,SMAC
1100,271.766513056836,SMAC
1200,274.807987711213,SMAC
1300,279.539170506912,SMAC
1400,282.58064516129,SMAC
1500,288.325652841782,SMAC
1600,296.774193548387,SMAC
1700,305.898617511521,SMAC
1800,314.347158218126,SMAC
1900,327.188940092166,SMAC
2000,339.354838709677,SMAC
2100,352.872503840246,SMAC
2200,364.700460829493,SMAC
2300,374.162826420891,SMAC
2400,382.273425499232,SMAC
2500,389.708141321045,SMAC
2600,397.818740399386,SMAC
2700,404.57757296467,SMAC
2800,408.970814132104,SMAC
2900,415.05376344086,SMAC
3000,418.095238095238,SMAC
3100,420.122887864823,SMAC
3200,422.488479262673,SMAC
3300,425.192012288786,SMAC
3400,427.557603686636,SMAC
3500,428.571428571429,SMAC
3600,428.571428571429,SMAC
0,244.731182795699,SMAC
100,246.082949308756,SMAC
200,247.096774193548,SMAC
300,248.110599078341,SMAC
400,249.124423963134,SMAC
500,249.800307219662,SMAC
600,251.152073732719,SMAC
700,253.179723502304,SMAC
800,255.545314900154,SMAC
900,258.924731182796,SMAC
1000,259.600614439324,SMAC
